id;place;rapport;date;M1;M2;M3;M4;allocation;Hippodrome;nbPartants;idHippodrome;nDistance;nAllocation;idFerrure;idJockey;nbPartants;rPoids;idOeillere;iCote
56005;1;1.3;01-01-2016;3a;3m;Da;3a;90000;Vincennes;17;Vincennes;2100;95000;0;18;17;0;0;12
98833;1;2.2;01-01-2016;3a;9Da;5a;4a;70000;Vincennes;18;Vincennes;2700;58000;1;30;18;0;0;12
98834;0;0;01-01-2016;1a;Da;Da;1a;44000;Vincennes;12;Vincennes;2850;37000;0;53;10;0;0;9
98835;1;1.5;01-01-2016;Da;7a;4a;2a;40000;Vincennes;11;Vincennes;2200;38000;2;143;13;0;0;4
98836;0;0;01-01-2016;1a;7a;10a;11a;40000;Vincennes;16;Vincennes;2700;34000;0;50;17;0;0;8
98837;1;1.5;01-01-2016;8a;6a;8a;0a;22000;Vincennes;16;Vincennes;2700;66000;0;4;16;0;0;9
98846;1;1.3;01-01-2016;2a;Da;Da;Da;5000;Wolvega;10;Wolvega;2100;5500;0;19;16;0;0;5
56015;0;0;02-01-2016;9a;7a;4a;7a;22000;Vincennes;15;Vincennes;2100;37000;0;3383;16;0;0;149
56016;0;0;02-01-2016;1a;5a;12a;1a;105000;Vincennes;14;Vincennes;2700;100000;2;147;18;0;0;3
98859;1;1.3;02-01-2016;4a;2a;2a;Da;44000;Vincennes;13;Vincennes;2850;48000;0;1196;11;0;0;55
98860;0;0;02-01-2016;Da;1a;5a;1a;70000;Vincennes;8;Vincennes;2700;120000;1;38;10;0;0;14
98861;0;0;02-01-2016;5a;Da;1a;1a;50000;Vincennes;15;Vincennes;2700;50000;0;1696;18;0;0;15
56028;1;1.5;03-01-2016;9a;2a;5a;8a;120000;Vincennes;14;Vincennes;2700;120000;0;1302;14;0;0;32
56029;1;1.9;03-01-2016;2a;10a;6a;5a;20000;Argentan;18;Argentan;2875;20000;0;488;17;0;0;15
56030;1;2.1;03-01-2016;1a;Da;Da;Da;20000;Argentan;16;Angers;3125;20000;0;29;18;0;0;3
98882;1;1.3;03-01-2016;1a;3a;1a;2a;36000;Vincennes;10;Vincennes;2700;35000;0;8;15;0;0;2
98883;1;1.6;03-01-2016;4a;1a;3a;1a;40000;Vincennes;15;Vincennes;2700;42000;0;4117;11;0;0;8
98884;1;2.6;03-01-2016;1a;3a;4a;0a;50000;Vincennes;16;Vincennes;2100;48000;2;549;17;0;0;8
98885;1;1.9;03-01-2016;Da;6a;Da;Da;70000;Vincennes;16;Vincennes;2175;80000;2;360;16;0;0;12
98888;1;2.6;03-01-2016;Da;Da;2a;4a;21000;Argentan;16;Vincennes;2850;40000;0;1820;16;0;0;86
98889;0;0;03-01-2016;1a;Da;9a;1a;28000;Argentan;18;Meslay-du-Maine;2875;6000;0;826;16;0;0;4
98892;0;0;03-01-2016;10a;5a;1a;Da;20000;Argentan;18;Le Mans;2950;22000;0;550;14;0;0;68
98893;1;1.4;03-01-2016;2a;4m;Da;Da;20000;Argentan;18;Mauquenchy;2850;20000;0;1573;14;0;0;6
56052;1;1.2;04-01-2016;1a;1a;3a;1a;18000;Toulouse;16;Grenade-sur-Garonne;2725;15000;0;436;12;0;0;3
98908;1;1.4;04-01-2016;2a;5a;7a;2a;50000;Vincennes;15;Vincennes;2700;50000;2;1931;16;0;0;12
98909;1;2.4;04-01-2016;Da;Da;6a;7a;14000;Vincennes;16;Vincennes;2100;55000;5;5;18;0;0;21
98910;1;2;04-01-2016;2a;2a;1a;1a;40000;Vincennes;18;Vincennes;2200;38000;2;2;15;0;0;2
98912;0;0;04-01-2016;1a;Da;1a;1a;37000;Vincennes;15;Le Mans;2950;22000;2;10;14;0;0;3
98914;0;0;04-01-2016;3a;Da;3a;2a;35000;Vincennes;15;Vincennes;2700;35000;0;34;15;0;0;16
98921;0;0;04-01-2016;1a;2a;Da;6a;18000;Toulouse;14;Lyon-Parilly;2850;12000;0;970;14;0;0;3
98923;1;1.2;04-01-2016;2a;3a;6a;1a;28000;Toulouse;14;Meslay-du-Maine;2875;28000;2;5;16;0;0;4
98924;0;0;04-01-2016;Da;0a;6a;8a;17000;Toulouse;16;Vincennes;2850;46000;0;4724;11;0;0;63
98926;1;1.7;04-01-2016;Aa;1a;1a;1a;18000;Toulouse;16;Grenade-sur-Garonne;2725;15000;0;5835;13;0;0;
56058;1;1.4;05-01-2016;1a;10a;1a;2a;31000;Cagnes-sur-Mer;10;Vincennes;2850;46000;1;34;15;0;0;3
56059;1;1.4;05-01-2016;Da;4a;1a;1a;38000;Cagnes-sur-Mer;15;Cagnes-sur-Mer;2925;38000;0;6412;17;0;0;13
56060;0;0;05-01-2016;5a;7a;6a;8a;50000;Cagnes-sur-Mer;15;Vincennes;2700;95000;2;220;13;0;0;6
56061;0;0;05-01-2016;3a;6a;Da;6a;22000;Cagnes-sur-Mer;16;Toulouse;2950;25000;5;983;18;0;0;31
56064;0;0;05-01-2016;1a;1a;2a;2a;6000;Mons;12;Kuurne;2300;1560;0;513;13;0;0;
56065;1;1.2;05-01-2016;1a;1a;1a;3a;6000;Mons;11;Bordeaux - Le Bouscat;2650;16000;2;147;14;0;0;2
98932;1;1.2;05-01-2016;2a;2a;Da;1a;35000;Vincennes;12;Vincennes;2700;34000;0;4;14;0;0;5
98933;0;0;05-01-2016;2a;1a;7a;1a;80000;Vincennes;18;Vincennes;2700;105000;2;140;6;0;0;4
98934;1;1.4;05-01-2016;1a;4a;3a;6a;46000;Vincennes;18;Vincennes;2700;38000;5;4;17;0;0;3
98936;0;0;05-01-2016;Da;5a;1a;2a;36000;Vincennes;14;Vincennes;2100;37000;0;238;16;0;0;17
98937;0;0;05-01-2016;Dm;3a;Da;3a;37000;Vincennes;17;Vincennes;2700;36000;1;143;15;0;0;12
98938;1;1.7;05-01-2016;8a;Da;1a;4a;18000;Cagnes-sur-Mer;14;Enghien;2875;34000;0;1104;14;0;0;16
98940;0;0;05-01-2016;Da;Da;Da;1a;25000;Cagnes-sur-Mer;15;Cagnes-sur-Mer;2925;22000;0;718;14;0;0;7
98941;1;1.4;05-01-2016;5a;3a;5a;3a;24000;Cagnes-sur-Mer;13;Cagnes-sur-Mer;2925;29000;0;3;13;0;0;19
98942;1;1.2;05-01-2016;1a;2a;9a;13a;32000;Cagnes-sur-Mer;15;Toulouse;3600;30000;0;163;18;0;0;12
98950;1;1.1;05-01-2016;1a;2a;1a;1a;6000;Mons;15;Mons;2300;6000;0;9161;13;0;0;7
98951;1;1.3;05-01-2016;1a;3a;10a;0a;6000;Mons;16;Mons;2300;6000;0;279;15;0;0;10
98952;1;1.5;05-01-2016;2a;7a;7a;8a;6000;Mons;16;Mons;2300;6000;2;524;13;0;0;21
98953;1;1.2;05-01-2016;1a;1a;2a;3a;5400;Mons;15;Mons;2300;6000;1;1171;13;0;0;2
98954;0;0;05-01-2016;Da;2a;2a;7a;6000;Mons;12;Mons;2300;6000;0;27;13;0;0;6
56070;1;1.2;06-01-2016;13a;1a;3a;Dm;22000;Vincennes;14;Lyon-Parilly;2850;40000;2;821;18;0;0;14
98967;1;1.6;06-01-2016;2a;0a;2a;1a;70000;Vincennes;10;Vincennes;2100;54000;0;8;12;0;0;5
98968;0;0;06-01-2016;4a;Da;3a;1a;35000;Vincennes;15;Vincennes;2700;35000;0;34;15;0;0;3
56076;0;0;07-01-2016;1a;1a;1a;10a;36000;Vincennes;13;Cagnes-sur-Mer;2925;20000;1;3;14;0;0;1
56077;1;1.4;07-01-2016;3a;1a;1a;1a;38000;Vincennes;13;Vincennes;2700;38000;0;4;12;0;0;12
56078;1;1.2;07-01-2016;7a;8a;8a;Da;22000;Vincennes;12;Vincennes;2700;58000;0;4673;14;0;0;82
98982;1;1.5;07-01-2016;2a;Da;4a;2a;90000;Vincennes;16;Vincennes;2100;90000;0;6;17;0;0;35
98984;1;1.3;07-01-2016;6m;2a;1a;3a;48000;Vincennes;14;Vincennes;2700;45000;2;153;16;0;0;3
98985;0;0;07-01-2016;4a;5a;Da;7a;46000;Vincennes;15;Vincennes;2175;50000;1;1931;14;0;0;10
56093;0;0;08-01-2016;1a;6a;3a;Da;23000;Cagnes;13;Cagnes-sur-Mer;2150;20000;2;1931;13;0;0;12
56094;0;0;08-01-2016;1a;0a;6a;8a;16000;Cagnes;15;Cordemais;2850;12000;2;623;14;0;0;5
99019;0;0;08-01-2016;11a;Da;6m;2m;16000;Cagnes-sur-Mer;15;Graignes;2700;22000;0;361;16;0;0;11
99020;0;0;08-01-2016;1a;1a;14a;Da;24000;Cagnes-sur-Mer;9;Cagnes-sur-Mer;2150;23000;1;734;15;0;0;4
99021;1;1.5;08-01-2016;1a;0a;9a;1a;28000;Cagnes-sur-Mer;15;Cagnes-sur-Mer;2925;26000;2;239;15;0;0;3
99022;0;0;08-01-2016;6a;3a;1a;2a;24000;Cagnes-sur-Mer;16;Cordemais;2825;26000;0;623;18;0;0;12
99023;0;0;08-01-2016;3a;1a;14a;6a;8000;Cagnes-sur-Mer;16;Marseille-Vivaux;2650;20000;0;1412;16;0;0;6
99024;1;1.3;08-01-2016;1a;4a;1Da;6a;5000;Wolvega;14;Wolvega;2100;5500;1;793;16;0;0;4
99027;1;1.1;08-01-2016;3a;1a;1a;1a;6500;Wolvega;10;Wolvega;2600;12500;1;1171;6;0;0;3
56101;1;2.4;09-01-2016;2Da;3a;Da;11a;55000;Vincennes;18;Vincennes;2700;58000;0;156;17;0;0;10
56102;1;1.9;09-01-2016;2a;Da;1a;1a;39000;Vincennes;18;Vincennes;2850;36000;0;38;16;0;0;15
56104;1;3.4;09-01-2016;3a;6a;7a;2a;33000;Vincennes;14;Mauquenchy;2225;16000;0;142;12;0;0;11
99034;0;0;09-01-2016;Da;1a;Da;4a;38000;Vincennes;15;Vincennes;2850;37000;0;2;12;0;0;1
99036;0;0;09-01-2016;2a;3a;1a;2a;48000;Vincennes;18;Vincennes;2700;45000;1;140;12;0;0;4
99037;0;0;09-01-2016;1a;7a;Da;7a;66000;Vincennes;17;Vincennes;2700;55000;2;1598;15;0;0;9
56116;0;0;10-01-2016;1a;4a;1a;1a;120000;Vincennes;8;Vincennes;2700;240000;0;28;14;0;0;6
56117;1;1.1;10-01-2016;1a;3a;1a;7a;88000;Vincennes;10;Vincennes;2100;80000;2;6;17;0;0;2
56119;0;0;10-01-2016;3a;Da;Da;Da;18000;Cordemais;14;Cordemais;2825;13000;0;383;13;0;0;7
99049;1;1.4;10-01-2016;0a;2a;1a;1a;36000;Vincennes;15;Kuurne;1800;1800;0;8559;12;0;0;
99051;1;1.4;10-01-2016;4a;9a;1a;2a;66000;Vincennes;15;Vincennes;2700;120000;2;1226;10;0;0;13
99054;0;0;10-01-2016;Da;Da;2a;Da;36000;Vincennes;15;Vincennes;2700;36000;0;143;14;0;0;5
99055;1;1.8;10-01-2016;Da;5a;5a;2a;18000;Cordemais;16;Vincennes;2700;37000;0;2619;17;0;0;54
99056;0;0;10-01-2016;1a;Da;1a;1a;22000;Cordemais;16;Angers;2350;20000;0;906;15;0;0;5
